text,emotion
ডিসলাইক দেয়া 32,none
ব্যাপক বিনোদন।,joy
মন খারাপ থাকলেই ঢুকে পরি আপনার চ্যানেলে।,none
Taslima Akter কন্টেন্ট ক্রিয়েটর রা এক একটা প্রজেক্ট এ কত টাইম & এফোর্ট দিয়ে এক একটা কন্টেন্ট ক্রিয়েট করবে আর কিছু আবাল রা তা ফ্রি তে খায়া দিবে তা কি ঠিক।! ! !,disgust
জাতি জানতে চায়।,none
নতুন কোন ভিডিও কবে আসবে?,none
"ভাই , আর কতো অপেক্ষা ?? পরের ভিডিওর",sad
কাচি দিয়া জিপলাইন বানাইছে,none
আপনাদের ক্রিয়িটিভিটি :D,joy
"ছিঃ,এভাবে অপমান নিজের দেশের মুভিকে,ছিঃ",disgust
জোস!,joy
"সাউয়ার আচোদা পোলাপাইন।
",anger
"দারুন
",joy
"জনি ভাই
",none
"বেশি মজা পাইলাম না । আগেরটা দারুন ছিল ।আশা করি পরেরটা জোস হবে । love u guys
",sad
"ভিডিওটা দেখে অনেক হাসলাম, All the best
",joy
"বাল আসিস কই থেকে?
",anger
"ভাই হেসে তো পেটে খিল ধরে গেছে।অসাধারণ
",joy
"ভাই হেসে তো পেটে খিল ধরে গেছে।অসাধারণ
",joy
"আজবতো প্রশ্ন হবে ফাঁস আর সাধারণ জনগণ খাবে বাঁশ? প্রশ্ন ফাঁস নিয়ে চরম একটি
",anger
"রাতে নোটিফিকেশন আসছে, ক্লিক করলাম বাট লেখা আসছে video হলো এটা?
",surprise
"রাতে নোটিফিকেশন আসছে, ক্লিক করলাম বাট লেখা আসছে video হলো এটা?
",disgust
"বাল আগেরটাই মজার ছিলো এখন সব ফালতু ভিডিও বানায়
",disgust
"নাটকের জন্য শেষের টা কি খুব দরকার ছিল।
",sad
"ইংলিশে অর্নাস মাষ্টার্স করা লোকের আবার চাকরির অভাব হয়?হয়তবা বেশি বেতনের চাকরি পায় না।হয়তবা সরকারি চাকরি পায় না?টিওশনির ও অভাব হয় না বুঝলেন ভাই।শালার জতসব ফালতু কাহিনি??যা তা একটা কাহিনি হলেই হলো না?
",surprise
